# Time: 2022-04-21T13:39:54-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 450
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 25.368
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-39.732366	0.026815
-39.657329	0.026786
-39.582291	0.025313
-39.507254	0.026090
-39.432216	0.025710
-39.357179	0.025714
-39.282141	0.024646
-39.207104	0.024386
-39.132066	0.024669
-39.057029	0.023898
-38.981991	0.023919
-38.906953	0.023530
-38.831916	0.023077
-38.756878	0.021509
-38.681841	0.021241
-38.606803	0.021220
-38.531766	0.021064
-38.456728	0.020439
-38.381691	0.019248
-38.306653	0.019585
-38.231616	0.018560
-38.156578	0.018120
-38.081541	0.018718
-38.006503	0.018307
-37.931466	0.017251
-37.856428	0.017145
-37.781391	0.016682
-37.706353	0.017276
-37.631316	0.016759
-37.556278	0.017372
-37.481241	0.017102
-37.406203	0.016946
-37.331166	0.016098
-37.256128	0.015566
-37.181091	0.016019
-37.106053	0.016252
-37.031016	0.015836
-36.955978	0.015597
-36.880940	0.016019
-36.805903	0.015321
-36.730865	0.015280
-36.655828	0.015296
-36.580790	0.015344
-36.505753	0.016173
-36.430715	0.015190
-36.355678	0.015234
-36.280640	0.015007
-36.205603	0.015215
-36.130565	0.014978
-36.055528	0.015367
-35.980490	0.015271
-35.905453	0.015041
-35.830415	0.014802
-35.755378	0.014168
-35.680340	0.014542
-35.605303	0.014268
-35.530265	0.013717
-35.455228	0.013553
-35.380190	0.013476
-35.305153	0.013555
-35.230115	0.013445
-35.155078	0.013788
-35.080040	0.013923
-35.005003	0.013844
-34.929965	0.014095
-34.854927	0.013867
-34.779890	0.014126
-34.704852	0.013879
-34.629815	0.014673
-34.554777	0.014455
-34.479740	0.014596
-34.404702	0.014270
-34.329665	0.014741
-34.254627	0.014230
-34.179590	0.014635
-34.104552	0.014045
-34.029515	0.014419
-33.954477	0.014101
-33.879440	0.014428
-33.804402	0.014544
-33.729365	0.013883
-33.654327	0.013592
-33.579290	0.013491
-33.504252	0.013299
-33.429215	0.012880
-33.354177	0.012768
-33.279140	0.012502
-33.204102	0.012354
-33.129065	0.011625
-33.054027	0.011820
-32.978989	0.011631
-32.903952	0.011193
-32.828914	0.010328
-32.753877	0.010738
-32.678839	0.010472
-32.603802	0.010767
-32.528764	0.010628
-32.453727	0.009969
-32.378689	0.010393
-32.303652	0.010241
-32.228614	0.010146
-32.153577	0.009769
-32.078539	0.009963
-32.003502	0.010220
-31.928464	0.010069
-31.853427	0.010247
-31.778389	0.010303
-31.703352	0.010434
-31.628314	0.010154
-31.553277	0.010569
-31.478239	0.010544
-31.403202	0.010276
-31.328164	0.009902
-31.253127	0.010268
-31.178089	0.009917
-31.103052	0.010341
-31.028014	0.010152
-30.952976	0.009686
-30.877939	0.009711
-30.802901	0.009815
-30.727864	0.009321
-30.652826	0.009250
-30.577789	0.009325
-30.502751	0.009495
-30.427714	0.009148
-30.352676	0.009117
-30.277639	0.009063
-30.202601	0.008487
-30.127564	0.009040
-30.052526	0.008735
-29.977489	0.008766
-29.902451	0.008907
-29.827414	0.008699
-29.752376	0.008635
-29.677339	0.008872
-29.602301	0.008783
-29.527264	0.008818
-29.452226	0.008978
-29.377189	0.008739
-29.302151	0.008598
-29.227114	0.008591
-29.152076	0.008739
-29.077039	0.008845
-29.002001	0.008583
-28.926963	0.008600
-28.851926	0.008352
-28.776888	0.008963
-28.701851	0.008668
-28.626813	0.008882
-28.551776	0.008747
-28.476738	0.008780
-28.401701	0.008731
-28.326663	0.008539
-28.251626	0.008716
-28.176588	0.008697
-28.101551	0.008743
-28.026513	0.008712
-27.951476	0.008822
-27.876438	0.008978
-27.801401	0.008681
-27.726363	0.008618
-27.651326	0.008793
-27.576288	0.008510
-27.501251	0.008558
-27.426213	0.008822
-27.351176	0.008579
-27.276138	0.008652
-27.201101	0.008747
-27.126063	0.008325
-27.051026	0.008726
-26.975988	0.008712
-26.900950	0.008627
-26.825913	0.008635
-26.750875	0.008785
-26.675838	0.008575
-26.600800	0.008535
-26.525763	0.008737
-26.450725	0.008660
-26.375688	0.008722
-26.300650	0.008421
-26.225613	0.008469
-26.150575	0.008625
-26.075538	0.008778
-26.000500	0.008463
-25.925463	0.008656
-25.850425	0.008546
-25.775388	0.008371
-25.700350	0.008492
-25.625313	0.008575
-25.550275	0.008575
-25.475238	0.008558
-25.400200	0.008585
-25.325163	0.008552
-25.250125	0.008620
-25.175088	0.008573
-25.100050	0.008371
-25.025013	0.008810
-24.949975	0.008926
-24.874937	0.008382
-24.799900	0.008639
-24.724862	0.008400
-24.649825	0.008579
-24.574787	0.008492
-24.499750	0.008463
-24.424712	0.008465
-24.349675	0.008891
-24.274637	0.008679
-24.199600	0.008668
-24.124562	0.008687
-24.049525	0.008664
-23.974487	0.008907
-23.899450	0.008743
-23.824412	0.008512
-23.749375	0.008772
-23.674337	0.008930
-23.599300	0.008841
-23.524262	0.008701
-23.449225	0.008355
-23.374187	0.008650
-23.299150	0.008633
-23.224112	0.008550
-23.149075	0.008918
-23.074037	0.008751
-22.998999	0.008577
-22.923962	0.008801
-22.848924	0.008546
-22.773887	0.008645
-22.698849	0.008350
-22.623812	0.008799
-22.548774	0.009036
-22.473737	0.008631
-22.398699	0.008859
-22.323662	0.008683
-22.248624	0.008552
-22.173587	0.008340
-22.098549	0.008558
-22.023512	0.008843
-21.948474	0.008652
-21.873437	0.008498
-21.798399	0.008670
-21.723362	0.008876
-21.648324	0.008579
-21.573287	0.008712
-21.498249	0.008859
-21.423212	0.008450
-21.348174	0.008444
-21.273137	0.008866
